"","TeamID","TeamScore","FGM","FGA","FGM3","FGA3","FTM","FTA","OR","DR","Ast","TO","Stl","Blk","PF","Outcome"
"1",1421,92,32,69,11,29,17,26,14,30,17,12,5,3,22,"W"
"2",1112,80,31,66,7,23,11,14,11,36,22,16,10,7,8,"W"
"3",1113,84,31,59,6,14,16,22,10,27,18,9,7,4,19,"W"
"4",1141,79,29,53,3,7,18,25,11,20,15,18,13,1,19,"W"
"5",1143,76,27,64,7,20,15,23,18,20,17,13,8,2,14,"W"
"6",1163,58,17,52,4,14,20,27,12,29,8,14,3,8,16,"W"
"7",1181,67,19,54,4,13,25,31,13,27,4,16,10,8,23,"W"
"8",1211,74,20,47,6,14,28,37,8,28,12,12,2,2,15,"W"
"9",1228,65,24,56,5,14,12,14,15,23,15,14,11,4,14,"W"
"10",1242,64,28,51,2,6,6,11,7,20,13,11,8,4,17,"W"
"11",1266,72,22,51,9,16,19,23,11,20,14,10,4,3,23,"W"
"12",1281,72,28,52,5,13,11,18,9,32,7,23,4,6,19,"W"
"13",1323,70,23,54,3,13,21,25,11,33,7,20,6,6,19,"W"
"14",1328,71,24,52,10,18,13,24,11,24,16,14,8,3,12,"W"
"15",1390,77,29,64,8,24,11,15,12,29,16,14,4,8,24,"W"
"16",1409,84,33,57,8,12,10,13,8,26,18,12,6,1,11,"W"
"17",1458,81,31,58,6,16,13,22,10,24,16,9,7,2,16,"W"
"18",1120,65,25,57,7,18,8,13,14,24,11,15,4,5,16,"W"
"19",1139,47,18,47,5,18,6,8,7,19,5,8,3,0,15,"W"
"20",1196,85,32,61,13,28,8,14,9,31,24,10,6,3,15,"W"
"21",1231,67,19,49,7,18,22,26,13,22,15,8,1,2,17,"W"
"22",1246,95,40,65,10,20,5,11,10,25,22,13,7,4,17,"W"
"23",1257,86,35,70,8,24,8,13,15,29,18,12,12,4,22,"W"
"24",1268,75,27,54,10,19,11,15,8,27,17,13,3,3,20,"W"
"25",1277,79,26,56,7,13,20,25,10,28,16,11,5,1,18,"W"
"26",1329,77,27,50,7,20,16,28,10,15,15,11,12,0,17,"W"
"27",1338,87,33,59,9,16,12,21,10,23,22,9,14,6,19,"W"
"28",1345,80,27,52,9,16,17,19,8,25,7,19,9,1,18,"W"
"29",1393,76,30,52,4,11,12,15,11,28,16,18,5,9,17,"W"
"30",1400,82,31,62,6,16,14,20,19,28,15,14,6,2,16,"W"
"31",1428,60,18,61,9,23,15,18,13,23,8,15,7,4,22,"W"
"32",1448,76,29,69,6,23,12,20,19,29,13,19,8,9,19,"W"
"33",1462,71,26,64,6,20,13,18,17,30,19,10,5,4,11,"W"
"34",1112,96,34,74,7,24,21,29,18,29,18,9,7,4,20,"W"
"35",1163,85,31,68,6,10,17,21,17,26,12,9,4,1,13,"W"
"36",1181,86,32,52,10,15,12,16,4,23,14,11,15,9,18,"W"
"37",1242,108,40,59,5,9,23,34,12,28,21,13,6,6,20,"W"
"38",1266,101,35,62,12,18,19,20,8,25,18,12,6,0,20,"W"
"39",1323,68,25,61,13,24,5,5,5,32,12,11,5,4,13,"W"
"40",1328,74,26,51,7,13,15,24,13,23,16,12,2,2,15,"W"
"41",1458,61,22,57,6,22,11,17,10,22,12,5,5,3,11,"W"
"42",1120,68,24,56,4,19,16,20,12,21,11,14,9,6,18,"W"
"43",1139,79,27,52,14,22,11,19,10,18,21,12,6,2,11,"W"
"44",1246,74,26,55,4,13,18,18,13,22,11,13,4,3,16,"W"
"45",1268,77,30,58,3,13,14,17,7,32,19,8,2,6,21,"W"
"46",1277,68,25,45,6,16,12,18,9,21,15,10,5,0,18,"W"
"47",1338,74,25,47,4,9,20,28,10,21,15,11,9,1,14,"W"
"48",1393,68,26,57,5,12,11,18,5,33,16,17,11,9,19,"W"
"49",1400,77,25,62,5,11,22,26,13,27,8,13,4,0,21,"W"
"50",1112,88,36,76,7,14,9,11,14,30,19,10,12,5,17,"W"
"51",1242,69,29,67,1,12,10,17,18,29,14,17,4,5,16,"W"
"52",1246,63,24,49,1,5,14,24,12,21,9,14,10,4,17,"W"
"53",1266,77,28,54,6,12,15,22,10,18,16,10,7,3,18,"W"
"54",1277,60,22,56,6,17,10,12,11,26,10,18,8,3,20,"W"
"55",1328,65,27,55,4,10,7,12,19,20,15,13,6,1,18,"W"
"56",1393,79,29,66,5,14,16,21,15,21,14,10,9,7,17,"W"
"57",1400,82,24,69,5,18,29,36,21,31,13,10,5,5,21,"W"
"58",1242,78,29,67,8,26,12,18,15,22,16,15,13,5,20,"W"
"59",1266,83,31,55,10,19,11,15,10,26,21,15,6,6,22,"W"
"60",1393,63,25,48,2,12,11,19,12,28,16,24,13,2,13,"W"
"61",1400,85,25,51,6,14,29,38,8,20,16,4,6,4,22,"W"
"62",1242,94,38,71,8,19,10,17,19,33,22,12,8,5,15,"W"
"63",1393,95,32,56,7,13,24,31,9,28,14,13,9,2,21,"W"
"64",1393,81,30,63,11,18,10,17,11,25,13,17,10,7,22,"W"
"65",1197,72,25,63,6,20,16,23,19,25,11,12,8,2,15,"W"
"66",1104,65,24,53,7,16,10,16,11,24,7,12,7,2,7,"W"
"67",1163,70,26,52,6,14,12,23,11,31,14,13,6,3,8,"W"
"68",1177,76,24,59,5,13,23,40,11,38,13,11,4,3,19,"W"
"69",1181,96,32,66,9,26,23,31,17,29,19,14,14,4,19,"W"
"70",1211,76,29,54,3,13,15,25,10,36,19,15,6,5,14,"W"
"71",1264,75,26,60,6,15,17,21,13,23,10,10,8,4,21,"W"
"72",1268,86,29,59,8,18,20,31,16,21,17,14,7,6,20,"W"
"73",1305,72,20,46,7,22,25,29,5,23,10,17,6,2,16,"W"
"74",1314,63,22,53,4,13,15,18,14,21,12,13,10,1,15,"W"
"75",1371,80,27,58,8,22,18,24,12,21,12,10,6,0,19,"W"
"76",1386,82,27,60,8,23,20,28,10,26,16,14,15,3,17,"W"
"77",1390,71,27,54,6,14,11,15,11,29,11,20,11,9,20,"W"
"78",1393,80,24,46,11,16,21,28,5,18,12,7,2,4,15,"W"
"79",1400,66,23,50,11,15,9,14,17,26,10,13,3,1,16,"W"
"80",1403,76,29,59,4,11,14,18,14,22,17,16,7,2,16,"W"
"81",1448,79,28,54,6,16,17,27,9,23,16,11,7,2,16,"W"
"82",1130,58,23,44,3,4,9,11,4,21,20,8,4,3,13,"W"
"83",1153,80,29,62,13,32,9,11,12,33,22,17,3,11,19,"W"
"84",1210,65,25,55,6,18,9,12,8,29,10,12,4,3,14,"W"
"85",1228,72,27,60,9,24,9,13,16,28,19,8,5,5,17,"W"
"86",1242,78,24,39,5,12,25,40,6,35,18,25,6,8,19,"W"
"87",1246,96,35,62,11,28,15,23,13,29,23,17,8,5,15,"W"
"88",1272,59,23,59,9,27,4,7,14,22,16,9,3,4,15,"W"
"89",1280,85,30,56,8,22,17,23,13,34,19,17,12,3,13,"W"
"90",1301,61,18,49,5,17,20,24,13,24,10,15,5,0,20,"W"
"91",1329,75,30,55,2,6,13,16,11,26,15,15,12,5,16,"W"
"92",1334,66,24,50,6,14,12,18,7,22,17,12,7,1,11,"W"
"93",1338,53,13,44,5,16,22,31,10,27,7,13,8,1,15,"W"
"94",1412,102,30,65,9,26,33,44,11,26,23,12,8,2,26,"W"
"95",1435,71,26,46,11,19,8,18,8,25,16,17,9,5,15,"W"
"96",1458,76,25,51,8,18,18,24,11,18,14,9,7,3,11,"W"
"97",1462,80,23,46,9,18,25,29,12,27,15,15,6,1,12,"W"
"98",1104,70,16,43,4,19,34,44,5,24,8,8,6,8,16,"W"
"99",1163,72,26,60,5,16,15,23,13,31,15,5,5,5,15,"W"
"100",1181,90,26,48,4,11,34,38,11,29,16,10,3,3,18,"W"
"101",1305,91,30,64,8,17,23,29,14,29,18,8,4,4,18,"W"
"102",1386,70,27,57,12,31,4,5,11,20,13,13,4,0,16,"W"
"103",1393,72,22,55,4,12,24,38,12,26,11,12,7,5,25,"W"
"104",1400,78,27,55,5,13,19,23,9,26,10,11,6,1,19,"W"
"105",1448,84,29,57,8,20,18,24,8,29,15,10,5,2,18,"W"
"106",1210,57,23,51,6,18,5,6,8,16,15,17,12,1,17,"W"
"107",1228,92,35,55,11,19,11,14,2,19,26,4,9,1,14,"W"
"108",1242,78,29,60,5,15,15,21,15,25,17,13,11,3,15,"W"
"109",1329,70,28,47,5,12,9,17,14,20,18,17,8,1,16,"W"
"110",1338,59,21,59,2,10,15,19,15,25,10,9,7,3,17,"W"
"111",1412,76,30,67,8,18,8,13,18,15,19,12,9,1,19,"W"
"112",1435,75,23,49,10,25,19,21,10,17,15,8,4,2,13,"W"
"113",1462,89,30,55,13,19,16,23,6,32,14,13,3,9,14,"W"
"114",1104,80,26,52,9,22,19,23,10,17,22,9,11,6,17,"W"
"115",1163,73,27,51,6,17,13,15,11,33,14,18,6,4,10,"W"
"116",1329,63,22,45,4,8,15,16,6,24,13,10,6,5,16,"W"
"117",1386,84,29,58,12,24,14,23,10,20,15,11,8,4,21,"W"
"118",1181,72,28,51,6,18,10,15,5,24,19,13,10,5,14,"W"
"119",1210,72,27,63,6,18,12,22,13,36,10,16,9,5,22,"W"
"120",1242,100,30,56,4,10,36,44,10,35,21,17,9,3,19,"W"
"121",1462,79,23,58,8,25,25,35,16,23,13,7,6,3,20,"W"
"122",1163,87,29,60,10,17,19,29,15,25,17,7,3,7,18,"W"
"123",1329,64,25,53,4,17,10,15,12,30,13,13,2,6,16,"W"
"124",1181,66,21,54,8,20,16,20,10,29,15,11,6,7,23,"W"
"125",1210,79,25,56,3,16,26,34,11,30,14,12,13,3,17,"W"
"126",1163,79,26,52,6,11,21,32,13,31,9,18,5,6,20,"W"
"127",1210,67,24,49,7,17,12,16,7,22,16,12,7,4,19,"W"
"128",1163,82,26,61,5,17,25,39,18,32,10,16,5,2,18,"W"
"129",1324,79,29,57,7,15,14,20,14,29,14,17,2,2,14,"W"
"130",1112,66,23,49,6,14,14,18,9,24,9,11,3,6,12,"W"
"131",1130,85,30,52,8,12,17,25,8,33,24,19,8,6,14,"W"
"132",1153,76,27,57,9,18,13,22,9,27,18,8,5,8,19,"W"
"133",1211,74,27,59,5,16,15,22,11,29,13,10,5,5,14,"W"
"134",1228,67,23,54,6,21,15,21,8,22,16,8,8,2,13,"W"
"135",1246,72,26,51,2,11,18,26,9,22,11,14,9,4,11,"W"
"136",1305,61,23,62,3,14,12,18,16,33,11,8,4,7,14,"W"
"137",1328,84,34,74,3,13,13,15,14,34,16,14,9,3,14,"W"
"138",1334,79,26,55,10,20,17,23,10,25,15,12,2,1,18,"W"
"139",1403,78,32,52,3,7,11,16,4,28,21,14,7,2,14,"W"
"140",1412,82,27,59,7,16,21,36,11,24,15,15,8,2,23,"W"
"141",1428,60,21,49,6,24,12,20,15,25,15,18,7,4,13,"W"
"142",1448,70,24,58,8,28,14,21,15,22,16,15,10,2,12,"W"
"143",1449,88,32,58,9,19,15,22,9,23,19,16,9,1,14,"W"
"144",1452,63,22,46,8,20,11,13,8,21,19,16,12,4,15,"W"
"145",1454,83,26,50,12,21,19,28,8,14,20,7,6,1,18,"W"
"146",1137,64,22,55,8,31,12,16,9,21,17,9,10,1,21,"W"
"147",1163,77,29,58,3,6,16,25,14,29,17,13,7,6,13,"W"
"148",1181,57,16,39,6,20,19,29,5,27,9,8,5,6,15,"W"
"149",1196,67,21,54,7,23,18,19,11,21,15,16,11,8,21,"W"
"150",1210,80,28,56,7,16,17,22,10,32,11,17,10,3,22,"W"
"151",1235,64,25,57,2,8,12,19,15,24,11,13,12,8,17,"W"
"152",1257,68,22,57,6,22,18,27,16,20,12,11,5,2,19,"W"
"153",1277,89,29,51,3,14,28,36,5,25,11,13,9,1,22,"W"
"154",1280,93,32,57,9,17,20,26,10,29,13,9,3,6,19,"W"
"155",1301,75,26,59,4,19,19,22,11,22,14,16,14,8,10,"W"
"156",1314,96,37,58,12,19,10,19,15,24,27,15,9,3,13,"W"
"157",1329,63,18,37,4,7,23,29,8,22,13,17,11,1,13,"W"
"158",1356,65,25,61,4,12,11,14,12,21,12,10,8,2,22,"W"
"159",1436,60,22,59,7,21,9,11,13,17,14,16,10,0,12,"W"
"160",1437,55,15,53,8,29,17,24,18,29,9,20,12,4,15,"W"
"161",1458,57,20,48,11,26,6,10,5,25,14,8,3,2,13,"W"
"162",1112,85,30,57,7,22,18,23,11,28,16,16,7,7,14,"W"
"163",1228,71,26,49,2,12,17,20,6,26,18,16,9,3,18,"W"
"164",1246,69,25,49,7,12,12,18,7,29,16,15,7,5,17,"W"
"165",1403,71,29,59,4,11,9,16,8,24,18,7,7,1,14,"W"
"166",1428,67,22,37,5,8,18,28,9,30,15,20,2,2,19,"W"
"167",1449,97,36,64,9,23,16,19,12,23,17,7,2,3,20,"W"
"168",1452,111,37,70,7,21,30,39,10,25,20,11,5,5,26,"W"
"169",1454,83,26,55,11,24,20,22,10,16,17,16,11,5,26,"W"
"170",1181,63,19,50,8,21,17,21,13,30,8,16,8,6,22,"W"
"171",1257,76,22,42,10,21,22,28,9,28,10,11,1,7,15,"W"
"172",1277,72,27,56,2,12,16,22,12,27,12,9,4,4,16,"W"
"173",1301,65,20,50,10,20,15,17,7,19,13,13,10,4,18,"W"
"174",1314,92,31,65,8,25,22,37,15,35,20,13,14,4,18,"W"
"175",1329,85,25,46,6,12,29,33,8,22,18,14,3,0,23,"W"
"176",1437,76,24,58,3,11,25,35,17,27,10,14,11,4,23,"W"
"177",1458,71,21,46,7,17,22,29,8,22,14,7,5,1,12,"W"
"178",1112,79,31,47,7,14,10,17,8,23,17,14,3,5,17,"W"
"179",1228,77,28,57,9,20,12,15,8,25,20,9,7,2,20,"W"
"180",1257,93,31,56,11,26,20,28,10,34,17,17,8,4,18,"W"
"181",1452,65,24,51,9,22,8,13,11,20,14,18,5,3,15,"W"
"182",1246,62,24,39,4,13,10,19,4,21,10,14,6,2,25,"W"
"183",1277,78,27,65,5,14,19,23,16,22,12,16,13,0,22,"W"
"184",1314,67,20,48,8,19,19,24,12,30,11,17,3,3,24,"W"
"185",1458,65,21,42,4,10,19,25,4,31,7,18,2,0,14,"W"
"186",1228,90,32,71,16,35,10,15,14,18,21,13,12,2,18,"W"
"187",1257,93,32,58,11,28,18,29,15,19,19,11,8,4,18,"W"
"188",1277,94,30,64,10,19,24,30,17,23,15,13,6,3,20,"W"
"189",1314,88,34,64,5,16,15,18,12,21,19,9,5,5,15,"W"
"190",1228,72,27,56,12,30,6,8,10,28,21,7,4,0,12,"W"
"191",1314,87,35,71,6,20,11,17,13,38,18,13,5,6,17,"W"
"192",1314,75,27,52,9,16,12,19,8,26,12,10,4,2,13,"W"
