"","TeamID","TeamName","Seed","Season","DayNum","TeamScore","FGM","FGA","FGM3","FGA3","FTM","FTA","OR","DR","Ast","TO","Stl","Blk","PF","Outcome","WinPercentage"
"1",1101,"Abilene Chr","W14",2021,23,70,20,49,13,23,17,27,6,24,14,15,8,3,0,"W",1
"2",1101,"Abilene Chr","W14",2021,25,80,29,53,5,9,17,29,5,20,12,15,12,1,0,"W",1
"3",1101,"Abilene Chr","W14",2021,26,70,26,58,6,12,12,20,10,22,15,14,9,0,0,"W",1
"4",1101,"Abilene Chr","W14",2021,33,69,23,56,9,27,14,22,10,19,15,14,10,2,0,"W",1
"5",1101,"Abilene Chr","W14",2021,37,44,16,45,6,18,6,9,3,20,6,20,8,3,0,"L",0.8
"6",1101,"Abilene Chr","W14",2021,50,72,29,61,5,22,9,15,8,17,13,12,3,4,0,"L",0.666666666666667
"7",1101,"Abilene Chr","W14",2021,61,83,30,69,9,20,14,21,15,23,21,13,11,3,0,"W",0.714285714285714
"8",1101,"Abilene Chr","W14",2021,65,66,27,65,3,22,9,11,13,27,17,13,6,3,0,"W",0.75
"9",1101,"Abilene Chr","W14",2021,75,76,24,54,9,24,19,27,9,22,21,14,16,5,0,"W",0.777777777777778
"10",1101,"Abilene Chr","W14",2021,79,57,23,61,3,19,8,15,11,18,21,11,6,3,20,"L",0.7
"11",1101,"Abilene Chr","W14",2021,82,93,34,64,12,31,13,18,8,23,29,12,11,6,0,"W",0.727272727272727
"12",1101,"Abilene Chr","W14",2021,86,82,26,63,6,24,24,29,12,24,12,11,7,5,0,"W",0.75
"13",1101,"Abilene Chr","W14",2021,89,75,25,52,6,23,19,25,12,26,17,12,2,1,0,"W",0.769230769230769
"14",1101,"Abilene Chr","W14",2021,96,77,30,61,11,22,6,12,9,21,20,7,11,2,0,"W",0.785714285714286
"15",1101,"Abilene Chr","W14",2021,98,82,31,60,6,15,14,21,10,20,20,8,8,3,0,"W",0.8
"16",1101,"Abilene Chr","W14",2021,100,88,33,71,13,28,9,18,17,23,26,19,18,4,0,"W",0.8125
"17",1101,"Abilene Chr","W14",2021,103,83,27,56,7,26,22,27,5,25,19,13,13,6,0,"W",0.823529411764706
"18",1101,"Abilene Chr","W14",2021,114,86,29,57,10,19,18,22,8,20,21,14,6,3,12,"W",0.833333333333333
"19",1101,"Abilene Chr","W14",2021,117,82,28,62,12,23,14,22,6,25,23,11,9,1,25,"L",0.789473684210526
"20",1101,"Abilene Chr","W14",2021,121,63,22,45,4,13,15,26,7,18,13,22,4,1,30,"W",0.8
"21",1101,"Abilene Chr","W14",2021,124,85,30,68,12,33,13,14,13,29,22,13,14,5,18,"W",0.80952380952381
"22",1101,"Abilene Chr","W14",2021,130,93,34,64,9,21,16,21,11,21,22,10,11,2,12,"W",0.818181818181818
"23",1101,"Abilene Chr","W14",2021,131,79,29,64,11,22,10,11,13,38,19,16,12,3,15,"W",0.826086956521739
"24",1104,"Alabama","W02",2021,23,81,30,77,7,31,14,20,19,31,11,10,8,3,0,"W",1
"25",1104,"Alabama","W02",2021,28,64,24,67,7,29,9,15,7,23,10,15,10,5,0,"L",0.5
